"Symbol","Price1"
"BAYN.DE",46
"BAYN.DE",46.005
"BAYN.DE",46.01
"BAYN.DE",46.025
"BAYN.DE",46.05
"BAYN.DE",46.065
"BAYN.DE",46.07
"BAYN.DE",46.145
"BAYN.DE",46.18
"BAYN.DE",46.195
"BAYN.DE",46.21
"BAYN.DE",46.22
"BAYN.DE",46.235
"BAYN.DE",46.24
"BAYN.DE",46.285
"BAYN.DE",46.295
"BAYN.DE",46.32
"BAYN.DE",46.33
"BAYN.DE",46.34
"BAYN.DE",46.37
"BAYN.DE",46.395
"BAYN.DE",46.4
"BAYN.DE",46.41
"BAYN.DE",46.435
"BAYN.DE",46.47
"BAYN.DE",46.48
"BAYN.DE",46.515
"BAYN.DE",46.55
"BAYN.DE",46.56
"BAYN.DE",46.565
"BAYN.DE",46.63
"BAYN.DE",46.645
"BAYN.DE",46.72
"BAYN.DE",46.725
"BAYN.DE",46.73
"BAYN.DE",46.75
"BAYN.DE",46.78
"BAYN.DE",46.82
"BAYN.DE",46.83
"BAYN.DE",46.855
"BAYN.DE",46.87
"BAYN.DE",46.935
"BAYN.DE",46.96
"BAYN.DE",46.98
"BAYN.DE",46.99
"BAYN.DE",47
"BAYN.DE",47.015
"BAYN.DE",47.025
"BAYN.DE",47.035
"BAYN.DE",47.04
"BAYN.DE",47.045
"BAYN.DE",47.075
"BAYN.DE",47.12
"BAYN.DE",47.13
"BAYN.DE",47.15
"BAYN.DE",47.17
"BAYN.DE",47.175
"BAYN.DE",47.185
"BAYN.DE",47.23
"BAYN.DE",47.24
"BAYN.DE",47.275
"BAYN.DE",47.29
"BAYN.DE",47.295
"BAYN.DE",47.31
"BAYN.DE",47.345
"BAYN.DE",47.35
"BAYN.DE",47.36
"BAYN.DE",47.375
"BAYN.DE",47.43
"BAYN.DE",47.44
"BAYN.DE",47.5
"BAYN.DE",47.505
"BAYN.DE",47.52
"BAYN.DE",47.53
"BAYN.DE",47.555
"BAYN.DE",47.58
"BAYN.DE",47.645
"BAYN.DE",47.66
"BAYN.DE",47.665
"BAYN.DE",47.68
"BAYN.DE",47.69
"BAYN.DE",47.745
"BAYN.DE",47.815
"BAYN.DE",47.82
"BAYN.DE",47.83
"BAYN.DE",47.84
"BAYN.DE",47.85
"BAYN.DE",47.92
"BAYN.DE",47.925
"BAYN.DE",47.93
"BAYN.DE",47.965
"BAYN.DE",47.975
"BAYN.DE",48
"BAYN.DE",48.005
"BAYN.DE",48.01
"BAYN.DE",48.075
"BAYN.DE",48.08
"BAYN.DE",48.09
"BAYN.DE",48.1
"BAYN.DE",48.11
"BAYN.DE",48.12
"BAYN.DE",48.135
"BAYN.DE",48.14
"BAYN.DE",48.18
"BAYN.DE",48.235
"BAYN.DE",48.24
"BAYN.DE",48.27
"BAYN.DE",48.28
"BAYN.DE",48.285
"BAYN.DE",48.29
"BAYN.DE",48.33
"BAYN.DE",48.345
"BAYN.DE",48.35
"BAYN.DE",48.36
"BAYN.DE",48.38
"BAYN.DE",48.4
"BAYN.DE",48.43
"BAYN.DE",48.45
"BAYN.DE",48.505
"BAYN.DE",48.535
"BAYN.DE",48.55
"BAYN.DE",48.565
"BAYN.DE",48.635
"BAYN.DE",48.65
"BAYN.DE",48.665
"BAYN.DE",48.67
"BAYN.DE",48.705
"BAYN.DE",48.72
"BAYN.DE",48.73
"BAYN.DE",48.76
"BAYN.DE",48.79
"BAYN.DE",48.8
"BAYN.DE",48.815
"BAYN.DE",48.84
"BAYN.DE",48.86
"BAYN.DE",48.885
"BAYN.DE",48.9
"BAYN.DE",48.975
"BAYN.DE",49.01
"BAYN.DE",49.04
"BAYN.DE",49.1
"BAYN.DE",49.14
"BAYN.DE",49.15
"BAYN.DE",49.195
"BAYN.DE",49.24
"BAYN.DE",49.27
"BAYN.DE",49.28
"BAYN.DE",49.35
"BAYN.DE",49.355
"BAYN.DE",49.38
"BAYN.DE",49.39
"BAYN.DE",49.395
